"지역","발생횟수","날짜","year","month","비품종견","품종견"
"부산",420,"2018-10-01",2018,10,256,164
"대구",259,"2018-10-01",2018,10,151,108
"인천",374,"2018-10-01",2018,10,149,225
"광주",149,"2018-10-01",2018,10,69,80
"대전",283,"2018-10-01",2018,10,76,207
"울산",134,"2018-10-01",2018,10,70,64
"세종",30,"2018-10-01",2018,10,17,13
"경기",1861,"2018-10-01",2018,10,1085,776
"강원",394,"2018-10-01",2018,10,266,128
"충북",306,"2018-10-01",2018,10,167,139
"충남",514,"2018-10-01",2018,10,364,150
"전북",537,"2018-10-01",2018,10,349,188
"전남",397,"2018-10-01",2018,10,274,123
"경북",545,"2018-10-01",2018,10,416,129
"경남",994,"2018-10-01",2018,10,799,195
"제주",619,"2018-10-01",2018,10,564,55
"서울",437,"2018-11-01",2018,11,194,243
"부산",354,"2018-11-01",2018,11,213,141
"대구",239,"2018-11-01",2018,11,144,95
"인천",342,"2018-11-01",2018,11,174,168
"광주",122,"2018-11-01",2018,11,67,55
"대전",234,"2018-11-01",2018,11,87,147
"울산",128,"2018-11-01",2018,11,74,54
"세종",17,"2018-11-01",2018,11,10,7
"경기",1549,"2018-11-01",2018,11,945,604
"강원",463,"2018-11-01",2018,11,319,144
"충북",307,"2018-11-01",2018,11,195,112
"충남",889,"2018-11-01",2018,11,668,221
"전북",485,"2018-11-01",2018,11,368,117
"전남",429,"2018-11-01",2018,11,315,114
"경북",483,"2018-11-01",2018,11,361,122
"경남",835,"2018-11-01",2018,11,663,172
"제주",531,"2018-11-01",2018,11,481,50
"서울",289,"2018-12-01",2018,12,126,163
"부산",319,"2018-12-01",2018,12,183,136
"대구",199,"2018-12-01",2018,12,108,91
"인천",271,"2018-12-01",2018,12,144,127
"광주",142,"2018-12-01",2018,12,76,66
"대전",168,"2018-12-01",2018,12,76,92
"울산",108,"2018-12-01",2018,12,55,53
"세종",37,"2018-12-01",2018,12,16,21
"경기",1328,"2018-12-01",2018,12,820,508
"강원",431,"2018-12-01",2018,12,298,133
"충북",310,"2018-12-01",2018,12,221,89
"충남",481,"2018-12-01",2018,12,351,130
"전북",374,"2018-12-01",2018,12,268,106
"전남",343,"2018-12-01",2018,12,247,96
"경북",551,"2018-12-01",2018,12,440,111
"경남",756,"2018-12-01",2018,12,612,144
"제주",527,"2018-12-01",2018,12,484,43
"서울",336,"2019-01-01",2019,1,141,195
