날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 03월 24일,"306,000","307,500","311,000","304,500",0.50K,-2.24%
2021년 03월 23일,"313,000","308,000","317,500","307,000",0.03K,3.13%
2021년 03월 22일,"303,500","296,500","304,000","292,500",0.02K,5.20%
2021년 03월 21일,"288,500","288,500","288,500","288,500",-,0.00%
2021년 03월 19일,"288,500","291,500","292,500","286,000",710.13K,-2.37%
2021년 03월 18일,"295,500","300,000","301,000","295,000",0.20K,0.17%
2021년 03월 17일,"295,000","303,000","303,000","294,500",0.01K,-3.59%
2021년 03월 16일,"306,000","309,500","312,500","305,500",0.57K,-0.65%
2021년 03월 15일,"308,000","302,000","308,500","298,500",0.00K,2.33%
2021년 03월 14일,"301,000","301,000","301,000","301,000",-,0.00%
2021년 03월 12일,"301,000","306,000","310,000","295,000",600.78K,-0.66%
2021년 03월 11일,"303,000","293,000","306,000","292,500",923.11K,3.24%
2021년 03월 10일,"293,500","307,000","308,000","293,000",0.63K,-7.41%
