"지역","발생횟수","날짜","year","month"
"제주",318,2017-05-01,2017,5
"서울",163,2017-06-01,2017,6
"부산",220,2017-06-01,2017,6
"대구",110,2017-06-01,2017,6
"인천",138,2017-06-01,2017,6
"광주",45,2017-06-01,2017,6
"대전",79,2017-06-01,2017,6
"울산",55,2017-06-01,2017,6
"세종",13,2017-06-01,2017,6
"경기",660,2017-06-01,2017,6
"강원",231,2017-06-01,2017,6
"충북",93,2017-06-01,2017,6
"충남",176,2017-06-01,2017,6
"전북",178,2017-06-01,2017,6
"전남",154,2017-06-01,2017,6
"경북",243,2017-06-01,2017,6
"경남",386,2017-06-01,2017,6
"제주",332,2017-06-01,2017,6
"서울",226,2017-07-01,2017,7
"부산",220,2017-07-01,2017,7
"대구",114,2017-07-01,2017,7
"인천",162,2017-07-01,2017,7
"광주",96,2017-07-01,2017,7
"대전",93,2017-07-01,2017,7
"울산",110,2017-07-01,2017,7
"세종",16,2017-07-01,2017,7
"경기",918,2017-07-01,2017,7
"강원",280,2017-07-01,2017,7
"충북",132,2017-07-01,2017,7
"충남",299,2017-07-01,2017,7
"전북",218,2017-07-01,2017,7
"전남",211,2017-07-01,2017,7
"경북",232,2017-07-01,2017,7
"경남",489,2017-07-01,2017,7
"제주",345,2017-07-01,2017,7
"서울",194,2017-08-01,2017,8
"부산",212,2017-08-01,2017,8
"대구",134,2017-08-01,2017,8
"인천",170,2017-08-01,2017,8
"광주",97,2017-08-01,2017,8
"대전",99,2017-08-01,2017,8
"울산",86,2017-08-01,2017,8
"세종",7,2017-08-01,2017,8
"경기",1001,2017-08-01,2017,8
"강원",311,2017-08-01,2017,8
"충북",166,2017-08-01,2017,8
"충남",284,2017-08-01,2017,8
"전북",277,2017-08-01,2017,8
"전남",220,2017-08-01,2017,8
"경북",367,2017-08-01,2017,8
"경남",584,2017-08-01,2017,8
"제주",430,2017-08-01,2017,8
"서울",186,2017-09-01,2017,9
"부산",200,2017-09-01,2017,9
"대구",118,2017-09-01,2017,9
"인천",157,2017-09-01,2017,9
"광주",76,2017-09-01,2017,9
"대전",84,2017-09-01,2017,9
"울산",66,2017-09-01,2017,9
"세종",9,2017-09-01,2017,9
"경기",844,2017-09-01,2017,9
"강원",213,2017-09-01,2017,9
"충북",129,2017-09-01,2017,9
"충남",242,2017-09-01,2017,9
"전북",215,2017-09-01,2017,9
"전남",161,2017-09-01,2017,9
"경북",272,2017-09-01,2017,9
"경남",493,2017-09-01,2017,9
"제주",388,2017-09-01,2017,9
"서울",186,2017-10-01,2017,10
"부산",196,2017-10-01,2017,10
"대구",117,2017-10-01,2017,10
"인천",134,2017-10-01,2017,10
"광주",112,2017-10-01,2017,10
"대전",76,2017-10-01,2017,10
"울산",69,2017-10-01,2017,10
"세종",7,2017-10-01,2017,10
"경기",760,2017-10-01,2017,10
"강원",204,2017-10-01,2017,10
"충북",129,2017-10-01,2017,10
"충남",200,2017-10-01,2017,10
"전북",243,2017-10-01,2017,10
"전남",201,2017-10-01,2017,10
"경북",330,2017-10-01,2017,10
"경남",461,2017-10-01,2017,10
"제주",374,2017-10-01,2017,10
"서울",143,2017-11-01,2017,11
"부산",211,2017-11-01,2017,11
"대구",115,2017-11-01,2017,11
"인천",131,2017-11-01,2017,11
"광주",57,2017-11-01,2017,11
"대전",74,2017-11-01,2017,11
"울산",66,2017-11-01,2017,11
"세종",9,2017-11-01,2017,11
"경기",753,2017-11-01,2017,11
"강원",206,2017-11-01,2017,11
"충북",117,2017-11-01,2017,11
"충남",286,2017-11-01,2017,11
"전북",177,2017-11-01,2017,11
"전남",200,2017-11-01,2017,11
"경북",296,2017-11-01,2017,11
"경남",503,2017-11-01,2017,11
"제주",409,2017-11-01,2017,11
"서울",136,2017-12-01,2017,12
"부산",151,2017-12-01,2017,12
"대구",100,2017-12-01,2017,12
"인천",125,2017-12-01,2017,12
"광주",51,2017-12-01,2017,12
"대전",61,2017-12-01,2017,12
"울산",61,2017-12-01,2017,12
"세종",6,2017-12-01,2017,12
"경기",696,2017-12-01,2017,12
"강원",163,2017-12-01,2017,12
"충북",149,2017-12-01,2017,12
"충남",294,2017-12-01,2017,12
"전북",161,2017-12-01,2017,12
"전남",158,2017-12-01,2017,12
"경북",263,2017-12-01,2017,12
"경남",437,2017-12-01,2017,12
"제주",453,2017-12-01,2017,12
"서울",172,2018-01-01,2018,1
"부산",155,2018-01-01,2018,1
"대구",87,2018-01-01,2018,1
"인천",152,2018-01-01,2018,1
"광주",69,2018-01-01,2018,1
"대전",93,2018-01-01,2018,1
"울산",71,2018-01-01,2018,1
"세종",15,2018-01-01,2018,1
"경기",875,2018-01-01,2018,1
"강원",200,2018-01-01,2018,1
"충북",166,2018-01-01,2018,1
"충남",256,2018-01-01,2018,1
"전북",182,2018-01-01,2018,1
"전남",227,2018-01-01,2018,1
"경북",382,2018-01-01,2018,1
"경남",601,2018-01-01,2018,1
"제주",422,2018-01-01,2018,1
"서울",140,2018-02-01,2018,2
"부산",184,2018-02-01,2018,2
"대구",90,2018-02-01,2018,2
"인천",139,2018-02-01,2018,2
"광주",69,2018-02-01,2018,2
"대전",77,2018-02-01,2018,2
"울산",35,2018-02-01,2018,2
"세종",3,2018-02-01,2018,2
"경기",802,2018-02-01,2018,2
"강원",189,2018-02-01,2018,2
"충북",113,2018-02-01,2018,2
"충남",225,2018-02-01,2018,2
"전북",161,2018-02-01,2018,2
"전남",162,2018-02-01,2018,2
"경북",294,2018-02-01,2018,2
"경남",513,2018-02-01,2018,2
"제주",455,2018-02-01,2018,2
"서울",213,2018-03-01,2018,3
"부산",243,2018-03-01,2018,3
"대구",100,2018-03-01,2018,3
"인천",194,2018-03-01,2018,3
"광주",56,2018-03-01,2018,3
"대전",71,2018-03-01,2018,3
"울산",79,2018-03-01,2018,3
"세종",23,2018-03-01,2018,3
"경기",968,2018-03-01,2018,3
"강원",267,2018-03-01,2018,3
"충북",145,2018-03-01,2018,3
"충남",327,2018-03-01,2018,3
"전북",333,2018-03-01,2018,3
"전남",248,2018-03-01,2018,3
"경북",405,2018-03-01,2018,3
"경남",587,2018-03-01,2018,3
"제주",512,2018-03-01,2018,3
"서울",147,2018-04-01,2018,4
"부산",209,2018-04-01,2018,4
"대구",117,2018-04-01,2018,4
"인천",164,2018-04-01,2018,4
"광주",63,2018-04-01,2018,4
"대전",77,2018-04-01,2018,4
"울산",62,2018-04-01,2018,4
"세종",16,2018-04-01,2018,4
"경기",817,2018-04-01,2018,4
"강원",230,2018-04-01,2018,4
"충북",121,2018-04-01,2018,4
"충남",301,2018-04-01,2018,4
"전북",262,2018-04-01,2018,4
"전남",231,2018-04-01,2018,4
"경북",417,2018-04-01,2018,4
"경남",797,2018-04-01,2018,4
"제주",468,2018-04-01,2018,4
"서울",183,2018-05-01,2018,5
"부산",187,2018-05-01,2018,5
"대구",128,2018-05-01,2018,5
"인천",211,2018-05-01,2018,5
"광주",80,2018-05-01,2018,5
"대전",99,2018-05-01,2018,5
"울산",73,2018-05-01,2018,5
"세종",17,2018-05-01,2018,5
"경기",956,2018-05-01,2018,5
"강원",226,2018-05-01,2018,5
"충북",150,2018-05-01,2018,5
"충남",342,2018-05-01,2018,5
"전북",290,2018-05-01,2018,5
"전남",284,2018-05-01,2018,5
"경북",384,2018-05-01,2018,5
"경남",769,2018-05-01,2018,5
"제주",486,2018-05-01,2018,5
"서울",164,2018-06-01,2018,6
"부산",191,2018-06-01,2018,6
"대구",109,2018-06-01,2018,6
"인천",146,2018-06-01,2018,6
"광주",59,2018-06-01,2018,6
"대전",80,2018-06-01,2018,6
"울산",64,2018-06-01,2018,6
"세종",4,2018-06-01,2018,6
"경기",811,2018-06-01,2018,6
"강원",188,2018-06-01,2018,6
"충북",127,2018-06-01,2018,6
"충남",241,2018-06-01,2018,6
"전북",280,2018-06-01,2018,6
"전남",199,2018-06-01,2018,6
