"지역","발생횟수","날짜","year","month"
"경남",228,2018-08-01,2018,8
"제주",57,2018-08-01,2018,8
"서울",301,2018-09-01,2018,9
"부산",155,2018-09-01,2018,9
"대구",126,2018-09-01,2018,9
"인천",221,2018-09-01,2018,9
"광주",67,2018-09-01,2018,9
"대전",199,2018-09-01,2018,9
"울산",82,2018-09-01,2018,9
"세종",7,2018-09-01,2018,9
"경기",791,2018-09-01,2018,9
"강원",144,2018-09-01,2018,9
"충북",138,2018-09-01,2018,9
"충남",165,2018-09-01,2018,9
"전북",158,2018-09-01,2018,9
"전남",119,2018-09-01,2018,9
"경북",137,2018-09-01,2018,9
"경남",171,2018-09-01,2018,9
"제주",39,2018-09-01,2018,9
"서울",284,2018-10-01,2018,10
"부산",164,2018-10-01,2018,10
"대구",108,2018-10-01,2018,10
"인천",225,2018-10-01,2018,10
"광주",80,2018-10-01,2018,10
"대전",207,2018-10-01,2018,10
"울산",64,2018-10-01,2018,10
"세종",13,2018-10-01,2018,10
"경기",776,2018-10-01,2018,10
"강원",128,2018-10-01,2018,10
"충북",139,2018-10-01,2018,10
"충남",150,2018-10-01,2018,10
"전북",188,2018-10-01,2018,10
"전남",123,2018-10-01,2018,10
"경북",129,2018-10-01,2018,10
"경남",195,2018-10-01,2018,10
"제주",55,2018-10-01,2018,10
"서울",243,2018-11-01,2018,11
"부산",141,2018-11-01,2018,11
"대구",95,2018-11-01,2018,11
"인천",168,2018-11-01,2018,11
"광주",55,2018-11-01,2018,11
"대전",147,2018-11-01,2018,11
"울산",54,2018-11-01,2018,11
"세종",7,2018-11-01,2018,11
"경기",604,2018-11-01,2018,11
"강원",144,2018-11-01,2018,11
"충북",112,2018-11-01,2018,11
"충남",221,2018-11-01,2018,11
"전북",117,2018-11-01,2018,11
"전남",114,2018-11-01,2018,11
"경북",122,2018-11-01,2018,11
"경남",172,2018-11-01,2018,11
"제주",50,2018-11-01,2018,11
"서울",163,2018-12-01,2018,12
"부산",136,2018-12-01,2018,12
"대구",91,2018-12-01,2018,12
"인천",127,2018-12-01,2018,12
"광주",66,2018-12-01,2018,12
"대전",92,2018-12-01,2018,12
"울산",53,2018-12-01,2018,12
"세종",21,2018-12-01,2018,12
"경기",508,2018-12-01,2018,12
"강원",133,2018-12-01,2018,12
"충북",89,2018-12-01,2018,12
"충남",130,2018-12-01,2018,12
"전북",106,2018-12-01,2018,12
"전남",96,2018-12-01,2018,12
"경북",111,2018-12-01,2018,12
"경남",144,2018-12-01,2018,12
"제주",43,2018-12-01,2018,12
"서울",195,2019-01-01,2019,1
"부산",104,2019-01-01,2019,1
"대구",71,2019-01-01,2019,1
"인천",137,2019-01-01,2019,1
"광주",54,2019-01-01,2019,1
"대전",176,2019-01-01,2019,1
"울산",54,2019-01-01,2019,1
"세종",4,2019-01-01,2019,1
"경기",530,2019-01-01,2019,1
"강원",110,2019-01-01,2019,1
"충북",100,2019-01-01,2019,1
"충남",134,2019-01-01,2019,1
"전북",129,2019-01-01,2019,1
"전남",123,2019-01-01,2019,1
"경북",117,2019-01-01,2019,1
"경남",157,2019-01-01,2019,1
"제주",40,2019-01-01,2019,1
"서울",171,2019-02-01,2019,2
"부산",114,2019-02-01,2019,2
"대구",88,2019-02-01,2019,2
"인천",129,2019-02-01,2019,2
"광주",63,2019-02-01,2019,2
"대전",110,2019-02-01,2019,2
"울산",44,2019-02-01,2019,2
"세종",7,2019-02-01,2019,2
"경기",487,2019-02-01,2019,2
"강원",113,2019-02-01,2019,2
"충북",78,2019-02-01,2019,2
"충남",113,2019-02-01,2019,2
"전북",126,2019-02-01,2019,2
"전남",96,2019-02-01,2019,2
"경북",91,2019-02-01,2019,2
"경남",182,2019-02-01,2019,2
"제주",36,2019-02-01,2019,2
"서울",227,2019-03-01,2019,3
"부산",132,2019-03-01,2019,3
"대구",90,2019-03-01,2019,3
"인천",150,2019-03-01,2019,3
"광주",70,2019-03-01,2019,3
"대전",171,2019-03-01,2019,3
"울산",52,2019-03-01,2019,3
"세종",16,2019-03-01,2019,3
"경기",595,2019-03-01,2019,3
"강원",103,2019-03-01,2019,3
"충북",114,2019-03-01,2019,3
"충남",165,2019-03-01,2019,3
"전북",127,2019-03-01,2019,3
"전남",109,2019-03-01,2019,3
"경북",140,2019-03-01,2019,3
"경남",144,2019-03-01,2019,3
"제주",46,2019-03-01,2019,3
"서울",225,2019-04-01,2019,4
"부산",154,2019-04-01,2019,4
"대구",93,2019-04-01,2019,4
"인천",165,2019-04-01,2019,4
"광주",81,2019-04-01,2019,4
"대전",139,2019-04-01,2019,4
"울산",58,2019-04-01,2019,4
"세종",13,2019-04-01,2019,4
"경기",667,2019-04-01,2019,4
"강원",122,2019-04-01,2019,4
"충북",112,2019-04-01,2019,4
"충남",124,2019-04-01,2019,4
"전북",130,2019-04-01,2019,4
"전남",111,2019-04-01,2019,4
"경북",147,2019-04-01,2019,4
"경남",163,2019-04-01,2019,4
"제주",38,2019-04-01,2019,4
"서울",275,2019-05-01,2019,5
"부산",158,2019-05-01,2019,5
"대구",123,2019-05-01,2019,5
"인천",184,2019-05-01,2019,5
"광주",80,2019-05-01,2019,5
"대전",155,2019-05-01,2019,5
"울산",49,2019-05-01,2019,5
"세종",10,2019-05-01,2019,5
"경기",703,2019-05-01,2019,5
"강원",143,2019-05-01,2019,5
"충북",112,2019-05-01,2019,5
"충남",147,2019-05-01,2019,5
"전북",125,2019-05-01,2019,5
"전남",111,2019-05-01,2019,5
"경북",122,2019-05-01,2019,5
"경남",215,2019-05-01,2019,5
"제주",48,2019-05-01,2019,5
"서울",234,2019-06-01,2019,6
"부산",154,2019-06-01,2019,6
"대구",110,2019-06-01,2019,6
"인천",186,2019-06-01,2019,6
"광주",80,2019-06-01,2019,6
"대전",135,2019-06-01,2019,6
"울산",65,2019-06-01,2019,6
"세종",12,2019-06-01,2019,6
"경기",588,2019-06-01,2019,6
"강원",128,2019-06-01,2019,6
"충북",139,2019-06-01,2019,6
"충남",152,2019-06-01,2019,6
"전북",125,2019-06-01,2019,6
"전남",124,2019-06-01,2019,6
"경북",123,2019-06-01,2019,6
"경남",169,2019-06-01,2019,6
"제주",35,2019-06-01,2019,6
"서울",294,2019-07-01,2019,7
"부산",183,2019-07-01,2019,7
"대구",118,2019-07-01,2019,7
"인천",221,2019-07-01,2019,7
"광주",98,2019-07-01,2019,7
"대전",136,2019-07-01,2019,7
"울산",65,2019-07-01,2019,7
"세종",16,2019-07-01,2019,7
"경기",806,2019-07-01,2019,7
"강원",160,2019-07-01,2019,7
"충북",139,2019-07-01,2019,7
"충남",198,2019-07-01,2019,7
"전북",168,2019-07-01,2019,7
"전남",141,2019-07-01,2019,7
"경북",166,2019-07-01,2019,7
"경남",230,2019-07-01,2019,7
"제주",59,2019-07-01,2019,7
"서울",300,2019-08-01,2019,8
"부산",183,2019-08-01,2019,8
"대구",102,2019-08-01,2019,8
"인천",192,2019-08-01,2019,8
"광주",85,2019-08-01,2019,8
"대전",139,2019-08-01,2019,8
"울산",82,2019-08-01,2019,8
"세종",20,2019-08-01,2019,8
"경기",764,2019-08-01,2019,8
"강원",154,2019-08-01,2019,8
"충북",138,2019-08-01,2019,8
"충남",138,2019-08-01,2019,8
"전북",139,2019-08-01,2019,8
"전남",118,2019-08-01,2019,8
"경북",157,2019-08-01,2019,8
"경남",207,2019-08-01,2019,8
"제주",52,2019-08-01,2019,8
"서울",254,2019-09-01,2019,9
"부산",148,2019-09-01,2019,9
"대구",117,2019-09-01,2019,9
"인천",175,2019-09-01,2019,9
"광주",83,2019-09-01,2019,9
"대전",127,2019-09-01,2019,9
"울산",61,2019-09-01,2019,9
"세종",2,2019-09-01,2019,9
"경기",656,2019-09-01,2019,9
"강원",140,2019-09-01,2019,9
"충북",153,2019-09-01,2019,9
"충남",173,2019-09-01,2019,9
"전북",111,2019-09-01,2019,9
"전남",145,2019-09-01,2019,9
"경북",140,2019-09-01,2019,9
"경남",181,2019-09-01,2019,9
"제주",44,2019-09-01,2019,9
"서울",230,2019-10-01,2019,10
"부산",155,2019-10-01,2019,10
